Unique ID,Title,,Source,Owner,Status,proposal url
1,What are supernatural beings?,Main/home,http://www.livescience.com/9508-surprising-realities-mythical-creatures.html,Tirzah,Needs to be written,www.supernaturalbeings.com
2,Real or Fake?,About supernatural beings,http://en.wikipedia.org/wiki/Monsters,Tirzah,Needs to be written,www.supernaturalbeings.com/articles
3,Ghosts,Supernatural beings,http://en.wikipedia.org/wiki/Ghost,Tirzah,Needs editing,www.supernaturalbeings.com/beings-common
4,Dragons,supernatural beings,http://en.wikipedia.org/wiki/Dragons,Tirzah,Needs editing,www.supernaturalbeings.com/beings-common
5,Ghouls,supernatural beings,http://en.wikipedia.org/wiki/Ghouls,Tirzah,Needs editing,www.supernaturalbeings.com/beings-uncommon
6,Hellhounds,supernatural beings,http://en.wikipedia.org/wiki/Hellhound,Tirzah,Needs editing,www.supernaturalbeings.com/uncommon
7,Phoenix,supernatural beings,http://en.wikipedia.org/wiki/Phoenix_%28mythology%29,Tirzah,Needs editing,www.supernaturalbeimg.com/beings
8,Shojo,supernatural beings,http://en.wikipedia.org/wiki/Vetala,Tirzah,Needs editing,www.supernaturalbeings.com/beings-uncommon
9,Vetala,supernatural beings,http://en.wikipedia.org/wiki/Vetala,Tirzah,Needs editing,www.supernaturalbeings.com/beings-uncommon
10,Wendigo,supernatural beings,http://en.wikipedia.org/wiki/Wendigo,Tirzah,Needs editing,www.supernaturalbeings.com/uncommon
11,Demons,supernatural beings,http://en.wikipedia.org/wiki/Demons,Tirzah,Needs editing,www.supernaturalbeings.com/beings-common
12,Angels,supernatural beings,http://en.wikipedia.org/wiki/Angels,Tirzah,Needs editing,www.supernaturalbeings.com/beings-common
13,Jinn,supernatural beings,http://monstereducation.wikia.com/wiki/Jinn,Tirzah,Needs editing,www.supernaturalbeings.com/beings-common
14,Werewolf,supernatural beings,http://en.wikipedia.org/wiki/Werewolf,Tirzah,Needs editing,www.supernaturalbeings.com/beings-common
15,Supernatural creatures in the media,about supernatural beings,www.listal.com/list/creatures-of-supernatural/,Tirzah,Needs to be written,www.supernaturalbeings.com/articles
